CustomerID,Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,ChurnStatus,TenureGroup,RiskScore
50001,1,4.0,Mobile Phone,Tier 3,6.0,Debit Card,Female,3.0,3,Laptop & Accessory,2,Single,9,Complained,11.0,1.0,1.0,5.0,159.93,Churned,New (0-6 months),3
50002,1,9.0,Phone,Tier 1,8.0,UPI,Male,3.0,4,Mobile,3,Single,7,Complained,15.0,0.0,1.0,0.0,120.9,Churned,Mid (6-12 months),2
50003,1,9.0,Phone,Tier 1,30.0,Debit Card,Male,2.0,4,Mobile,3,Single,6,Complained,14.0,0.0,1.0,3.0,120.28,Churned,Mid (6-12 months),2
50004,1,0.0,Phone,Tier 3,15.0,Debit Card,Male,2.0,4,Laptop & Accessory,5,Single,8,No Complaint,23.0,0.0,1.0,3.0,134.07,Churned,New (0-6 months),0
50005,1,0.0,Phone,Tier 1,12.0,CC,Male,3.0,3,Mobile,5,Single,3,No Complaint,11.0,1.0,1.0,3.0,129.6,Churned,New (0-6 months),0
50006,1,0.0,Computer,Tier 1,22.0,Debit Card,Female,3.0,5,Mobile Phone,5,Single,2,Complained,22.0,4.0,6.0,7.0,139.19,Churned,New (0-6 months),2
50007,1,9.0,Phone,Tier 3,11.0,Cash on Delivery,Male,2.0,3,Laptop & Accessory,2,Divorced,4,No Complaint,14.0,0.0,1.0,0.0,120.86,Churned,Mid (6-12 months),1
50008,1,9.0,Phone,Tier 1,6.0,CC,Male,3.0,3,Mobile,2,Divorced,3,Complained,16.0,2.0,2.0,0.0,122.93,Churned,Mid (6-12 months),3
50009,1,13.0,Phone,Tier 3,9.0,E wallet,Male,3.0,4,Mobile,3,Divorced,2,Complained,14.0,0.0,1.0,2.0,126.83,Churned,Loyal (12+ months),2
50010,1,9.0,Phone,Tier 1,31.0,Debit Card,Male,2.0,5,Mobile,3,Single,2,No Complaint,12.0,1.0,1.0,1.0,122.93,Churned,Mid (6-12 months),0
50011,1,4.0,Mobile Phone,Tier 1,18.0,Cash on Delivery,Female,2.0,3,Others,3,Divorced,2,No Complaint,15.0,9.0,15.0,8.0,295.45,Churned,New (0-6 months),0
50012,1,11.0,Mobile Phone,Tier 1,6.0,Debit Card,Male,3.0,4,Fashion,3,Single,10,Complained,13.0,0.0,1.0,0.0,153.81,Churned,Mid (6-12 months),2
50013,1,0.0,Phone,Tier 1,11.0,COD,Male,2.0,3,Mobile,3,Single,2,Complained,13.0,2.0,2.0,2.0,134.41,Churned,New (0-6 months),2
50014,1,0.0,Phone,Tier 1,15.0,CC,Male,3.0,4,Mobile,3,Divorced,1,Complained,17.0,0.0,1.0,0.0,133.88,Churned,New (0-6 months),2
50015,1,9.0,Mobile Phone,Tier 3,15.0,Credit Card,Male,3.0,4,Fashion,2,Single,2,No Complaint,16.0,0.0,4.0,7.0,196.19,Churned,Mid (6-12 months),1
50016,1,9.0,Phone,Tier 2,12.0,UPI,Male,3.0,3,Mobile,5,Married,5,Complained,22.0,1.0,1.0,2.0,120.73,Churned,Mid (6-12 months),2
50017,1,0.0,Computer,Tier 1,12.0,Debit Card,Female,3.0,4,Mobile,2,Single,2,Complained,18.0,1.0,1.0,0.0,129.26,Churned,New (0-6 months),3
50018,1,0.0,Mobile Phone,Tier 3,11.0,E wallet,Male,2.0,4,Laptop & Accessory,3,Single,2,Complained,11.0,1.0,1.0,3.0,157.44,Churned,New (0-6 months),2
50019,1,0.0,Computer,Tier 1,13.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Single,2,Complained,24.0,1.0,1.0,6.0,160.74,Churned,New (0-6 months),2
50020,1,19.0,Mobile Phone,Tier 1,20.0,Debit Card,Female,3.0,3,Mobile Phone,4,Divorced,10,Complained,18.0,1.0,4.0,3.0,149.63,Churned,Loyal (12+ months),2
50021,1,0.0,Mobile Phone,Tier 3,12.0,Debit Card,Male,3.0,5,Laptop & Accessory,3,Divorced,5,Complained,18.0,6.0,7.0,7.0,161.72,Churned,New (0-6 months),2
50022,1,20.0,Mobile Phone,Tier 1,29.0,Credit Card,Female,3.0,3,Fashion,2,Divorced,2,No Complaint,12.0,11.0,15.0,6.0,203.12,Churned,Loyal (12+ months),1
50023,1,9.0,Mobile Phone,Tier 3,28.0,E wallet,Male,2.0,3,Mobile Phone,3,Single,2,Complained,19.0,0.0,1.0,0.0,116.75,Churned,Mid (6-12 months),2
50024,1,0.0,Phone,Tier 3,26.0,Debit Card,Female,3.0,5,Laptop & Accessory,3,Divorced,4,Complained,11.0,1.0,2.0,2.0,145.59,Churned,New (0-6 months),2
50025,1,14.0,Computer,Tier 1,14.0,Debit Card,Male,2.0,5,Fashion,2,Single,3,No Complaint,15.0,0.0,1.0,3.0,206.5,Churned,Loyal (12+ months),1
50026,1,0.0,Phone,Tier 1,15.0,Credit Card,Female,2.0,3,Mobile Phone,5,Single,8,No Complaint,22.0,1.0,1.0,4.0,142.0,Churned,New (0-6 months),0
50027,0,8.0,Mobile Phone,Tier 3,6.0,E wallet,Male,3.0,3,Fashion,4,Divorced,2,No Complaint,13.0,1.0,1.0,6.0,172.95,Active,Mid (6-12 months),0
50028,0,9.0,Phone,Tier 3,12.0,E wallet,Male,2.0,3,Laptop & Accessory,3,Divorced,3,Complained,20.0,0.0,4.0,5.0,123.06,Active,Mid (6-12 months),2
50029,0,18.0,Phone,Tier 1,14.0,Debit Card,Male,2.0,3,Laptop & Accessory,4,Married,9,No Complaint,18.0,1.0,1.0,15.0,123.48,Active,Loyal (12+ months),0
50030,0,5.0,Computer,Tier 3,14.0,E wallet,Female,2.0,3,Fashion,2,Single,2,No Complaint,14.0,2.0,3.0,7.0,189.98,Active,New (0-6 months),1
50031,0,2.0,Computer,Tier 1,6.0,COD,Male,2.0,3,Laptop & Accessory,3,Divorced,2,No Complaint,13.0,0.0,1.0,9.0,143.19,Active,New (0-6 months),0
50032,0,0.0,Mobile Phone,Tier 1,13.0,Credit Card,Male,2.0,4,Laptop & Accessory,3,Divorced,3,No Complaint,17.0,1.0,1.0,0.0,161.32,Active,New (0-6 months),0
50033,0,30.0,Phone,Tier 1,15.0,CC,Female,3.0,4,Mobile,4,Divorced,5,Complained,20.0,1.0,1.0,0.0,133.46,Active,Loyal (12+ months),2
